"","TF","Target","mode","references"
"1","AATF","BAX","Repression","22909821"
"2","AATF","CDKN1A","Unknown","17157788"
"3","AATF","KLK3","Unknown","23146908"
"4","AATF","MYC","Activation","20549547"
"5","AATF","TP53","Unknown","17157788"
"6","ABL1","BAX","Activation","11753601"
"7","ABL1","BCL2","Repression","11753601"
"8","ABL1","BCL6","Repression","15509806"
"9","ABL1","CCND2","Activation","15509806"
"10","ABL1","CDKN1A","Activation","11753601;9916993"
"11","ABL1","CSF1","Activation","23418320"
"12","ABL1","CSF1","Unknown","18619508"
"13","ABL1","FOXO3","Activation","15509806"
"14","ABL1","JUN","Activation","15145216"
"15","ABL1","JUN","Repression","19357699"
"16","ABL1","PIM1","Activation","15145216"
"17","ABL1","TP53","Activation","11753601"
"18","AES","EPHA3","Unknown","20676368"
"19","AES","LEF1","Activation","20676368"
"20","AES","RND3","Activation","23546594"
"21","AHR","ABCG2","Unknown","20460431"
"22","AHR","AHRR","Activation","18848529"
"23","AHR","ARNT","Unknown","19255421;8631989"
"24","AHR","BRCA1","Unknown","18259752"
"25","AHR","CA9","Repression","19154183"
"26","AHR","CCND1","Unknown","24380854"
"27","AHR","CCNG2","Activation","22596188"
"28","AHR","CYP1A1","Activation","12213390;9865727"
"29","AHR","CYP1A1","Repression","17012224"
"30","AHR","CYP1A1","Unknown","10359656;12376470;15325265;19376845;21357676;24639079;8631128;9698073"
"31","AHR","CYP1A2","Unknown","21357676"
"32","AHR","CYP1B1","Activation","16115918;19287966"
"33","AHR","CYP1B1","Unknown","12376470;19376845;21742528;24299737"
"34","AHR","CYP2B6","Unknown","19928584"
"35","AHR","FOS","Unknown","10478842"
"36","AHR","IL13","Unknown","22981205"
"37","AHR","IL1B","Unknown","23349129"
"38","AHR","IL6","Activation","20511231"
"39","AHR","IL6","Unknown","18483242;23349129"
"40","AHR","MFSD2A","Unknown","21736709"
"41","AHR","MT2A","Unknown","23994556"
"42","AHR","MYC","Unknown","11114727;16091746"
"43","AHR","PCNA","Activation","12417031"
"44","AHR","RFC3","Activation","12417031"
"45","AHR","UGT1A1","Activation","18172616"
"46","AHR","UGT1A6","Unknown","9466822"
"47","AIP","AHR","Activation","11469723"
"48","AIP","GREB1","Repression","21984905"
"49","AIP","NFKB2","Repression","21984905"
"50","AIP","RSF1","Repression","21984905"
"51","AIP","TFF1","Repression","21984905"
"52","AIRE","CHRNA1","Unknown","17687331"
"53","ANKRD1","NPPA","Repression","18273862"
"54","APBB1","GMPS","Repression","21453247"
"55","APC","AKT1","Repression","15888491"
"56","APC","AMHR2","Repression","12724325"
"57","APC","BIRC5","Unknown","11751382"
"58","APC","DLG1","Unknown","21858148"
"59","APC","DNMT1","Repression","12538344"
"60","APC","F8","Unknown","12010799"
"61","APC","KLF4","Unknown","12387883"
"62","APC","MYC","Repression","16510874"
"63","APC","NOS2","Activation","11935128"
"64","APC","ODC1","Repression","12112318"
"65","APC","PTGS2","Repression","10772828;12566320"
"66","APC","PTGS2","Unknown","11396184"
"67","APC","SGK1","Repression","18487207"
"68","APEX1","CCL2","Activation","17045925"
"69","APEX1","CD19","Activation","10666449"
"70","APEX1","CYP11B2","Repression","22652909"
"71","APEX1","NFKB1","Activation","17045925"
"72","APEX1","PTH","Repression","14633989"
"73","APEX1","RELA","Activation","17045925"
"74","APEX1","SLC5A5","Activation","14630715"
"75","AR","ACTA1","Activation","15623502"
"76","AR","AKR1C3","Repression","22971343"
"77","AR","AKT1","Activation","11278645"
"78","AR","AKT1","Repression","20589722"
