"","rmeans_nexpr","rmeans_texpr","gene"
"1007_s_at",1641.37160465116,2663.9638372093,"DDR1 /// MIR4640"
"1053_at",106.374234883721,89.8323,"RFC2"
"117_at",1230.85065116279,990.130581395349,"HSPA6"
"121_at",3162.62348837209,2951.05162790698,"PAX8"
"1255_g_at",429.972930232558,433.604720930233,"GUCA1A"
"1294_at",426.824520930233,423.174976744186,"MIR5193 /// UBA7"
"1316_at",1143.40911627907,1059.49481395349,"THRA"
"1320_at",108.6125,82.2588279069767,"PTPN21"
"1405_i_at",102.903879069767,143.101065116279,"CCL5"
"1431_at",254.360737209302,286.321544186046,"CYP2E1"
"1438_at",521.68088372093,402.154395348837,"EPHB3"
"1487_at",963.364627906977,917.068534883721,"ESRRA"
"1494_f_at",883.439162790698,809.937302325581,"CYP2A6"
"1598_g_at",2287.04295348837,1860.8956744186,"GAS6"
"160020_at",2807.89604651163,2549.5011627907,"MMP14"
"1729_at",408.42346744186,465.557437209302,"TRADD"
"1773_at",441.094046511628,412.287460465116,"CHURC1-FNTB /// FNTB"
"177_at",278.495188372093,260.564776744186,"PLD1"
"179_at",2337.46372093023,2024.29534883721,"DTX2P1-UPK3BP1-PMS2P11"
"1861_at",392.191418604651,366.416220930233,"BAD"
"200000_s_at",399.690937209302,309.441065116279,"PRPF8"
"200001_at",1081.30360465116,913.604,"CAPNS1"
"200002_at",1980.63820930233,2044.14995348837,"RPL35"
"200003_s_at",2416.15846511628,3077.31960465116,"MIR6805 /// RPL28"
"200004_at",3541.77581395349,3802.84744186047,"EIF4G2"
"200005_at",1920.0733255814,2099.28058139535,"EIF3D"
"200006_at",5589.08395348837,5071.42674418605,"PARK7"
"200007_at",2763.32955813954,2913.0511627907,"SRP14"
"200008_s_at",1919.08106976744,1854.49437209302,"GDI2"
"200009_at",3567.30674418605,3952.5376744186,"GDI2"
"200010_at",900.255860465116,987.984320930233,"RPL11"
"200011_s_at",845.329162790698,957.859604651163,"ARF3"
"200012_x_at",3991.84930232558,3816.27876744186,"RPL21 /// RPL21P28 /// SNORA27 /// SNORD102"
"200013_at",2283.99169767442,2686.48560465116,"RPL24"
"200014_s_at",1457.1886744186,1661.34258139535,"HNRNPC"
"200015_s_at",4762.91055813954,4254.68255813954,"SEPT2"
"200016_x_at",6426.20046511628,7475.48162790698,"HNRNPA1 /// HNRNPA1P10"
"200017_at",3606.2588372093,3811.09744186047,"RPS27A"
"200018_at",4677.35813953488,4373.6376744186,"LOC100508408 /// RPS13 /// SNORD14B"
"200019_s_at",5107.55069767442,5089.56046511628,"FAU"
"200020_at",1329.04234883721,1693.87218604651,"TARDBP"
"200021_at",1746.1286744186,1911.04376744186,"CFL1"
"200022_at",2722.70306976744,3164.93786046512,"RPL18"
"200023_s_at",2816.751,2351.98951162791,"EIF3F"
"200024_at",2743.60437209302,2939.05909302326,"RPS5"
"200025_s_at",4468.40046511628,4331.95534883721,"RPL27"
